BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
80	2.07762	1.20448
81	2.10327	1.23292
82	2.12892	1.21753
83	2.15457	1.19956
84	2.18022	1.21996
85	2.20587	1.14842
86	2.23152	1.13154
87	2.25717	1.1147
88	2.28282	1.07305
89	2.30847	1.06332
90	2.33412	1.02712
91	2.35977	0.984804
92	2.38542	0.961005
93	2.41107	0.923983
94	2.43672	0.923906
95	2.46237	0.922678
96	2.48802	0.903718
97	2.51366	0.903246
98	2.53931	0.886181
99	2.56496	0.897649

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00169655
35	0.923387	0.0200939
36	0.949037	0.174432
37	0.974686	0.574001
38	1.00034	1.23536
39	1.02599	1.87988
40	1.05164	2.34217
41	1.07728	2.58681
42	1.10293	2.47994
43	1.12858	2.33369
44	1.15423	2.19606
45	1.17988	1.99762
46	1.20553	1.77584
47	1.23118	1.55909
48	1.25683	1.40064
49	1.28248	1.26071
50	1.30813	1.12555
51	1.33378	0.994435
52	1.35943	0.891944
53	1.38508	0.873196
54	1.41073	0.802712
55	1.43638	0.766906
56	1.46203	0.746805
57	1.48768	0.723366
58	1.51333	0.684606
59	1.53898	0.683325
60	1.56463	0.6832
61	1.59028	0.733603
62	1.61593	0.698007
63	1.64158	0.683965
64	1.66723	0.703329
65	1.69288	0.738501
66	1.71853	0.767603
67	1.74418	0.799748
68	1.76983	0.803449
69	1.79547	0.839998
70	1.82112	0.89483
71	1.84677	0.913
72	1.87242	0.978721
73	1.89807	1.00488
74	1.92372	1.06051
75	1.94937	1.06744
76	1.97502	1.13373
77	2.00067	1.18379
78	2.02632	1.17607
79	2.05197	1.19259
80	2.07762	1.2291
81	2.10327	1.22813
82	2.12892	1.20079
83	2.15457	1.22692
84	2.18022	1.18966
85	2.20587	1.14084
86	2.23152	1.09062
87	2.25717	1.09817
88	2.28282	1.0725
89	2.30847	1.01723
90	2.33412	0.97782
91	2.35977	0.951805
92	2.38542	0.948311
93	2.41107	0.921105
94	2.43672	0.912452
95	2.46237	0.913258
96	2.48802	0.910611
97	2.51366	0.899021
98	2.53931	0.902275
99	2.56496	0.902423

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000550231
35	0.923387	0.0260269
36	0.949037	0.172424
37	0.974686	0.587778
38	1.00034	1.21805
39	1.02599	1.84766
40	1.05164	2.30643
41	1.07728	2.51431
42	1.10293	2.58209
43	1.12858	2.43103
44	1.15423	2.19239
45	1.17988	2.06806
46	1.20553	1.78927
47	1.23118	1.52791
48	1.25683	1.38034
49	1.28248	1.19765
50	1.30813	1.09672
