INITIAL DISTRIBUTION	DELTA
BIN SIZE	0.188562
BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
6	1.31993	1.50849	11.424	16.7738	3.59538
7	1.50849	1.69706	10.882	12.7017	0.771368
8	1.69706	1.88562	9.816	10.6242	0.402531
9	1.88562	2.07418	10.013	9.52887	0.538756
10	2.07418	2.26274	7.7655	7.36003	0.469412
11	2.26274	2.4513	5.6365	4.9915	0.427725
12	2.4513	2.63987	3.7735	3.44003	0.266188
13	2.63987	2.82843	2.886	2.01434	0.155693
14	2.82843	3.01699	1.7945	1.51745	0.166959
15	3.01699	3.20555	0.687	0.583868	0.0692667
16	3.20555	3.39411	0.428	0.283316	0.0446341
17	3.39411	3.58267	0.142	0.204026	0.0445506
18	3.58267	3.77124	0.015	0.0988158	0.0293084
19	3.77124	3.9598	0.002	0.104289	0.04446
20	3.9598	4.14836	0.002	0.0295526	0.0121962
21	4.14836	4.33692	0.5895	0.0515263	0.0308308
22	4.33692	4.52548	0.1135	0.0157895	0.00844235
23	4.52548	4.71405	0.096	0.00505263	0.00491787
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
